name,score,release_date,region,platform,genres,themes,publishers
return to krondor,7.9,1998,North America,PC,role-playing,,activision
return to krondor,7.9,1998,Europe,PC,role-playing,,activision
fox sports soccer '99,4.2,1998,North America,PC,sports,,
fox sports soccer '99,4.2,1998,North America,PlayStation,sports,,
earthworm jim 3d,6.3,1999,North America,PC,platformer,,
earthworm jim 3d,6.3,1999,Europe,PC,platformer,,
earthworm jim 3d,6.3,1999,North America,Nintendo 64,platformer,,
earthworm jim 3d,6.3,1999,Europe,Nintendo 64,platformer,,
earthworm jim 3d,6.3,1999,North America,PlayStation,platformer,,
peter jacobsen's golden tee golf,5.2,2000,North America,PC,sports,,
peter jacobsen's golden tee golf,5.2,2000,North America,PlayStation,sports,,
indiana jones and the infernal machine,6.3,1999,North America,PC,adventure,historic,thq
indiana jones and the infernal machine,6.3,1999,Europe,PC,adventure,historic,thq
indiana jones and the infernal machine,6.3,1999,North America,Game Boy Color,adventure,historic,thq
indiana jones and the infernal machine,6.3,1999,Europe,Game Boy Color,adventure,historic,thq
indiana jones and the infernal machine,6.3,1999,North America,Nintendo 64,adventure,historic,thq
indiana jones and the infernal machine,6.3,1999,Europe,Nintendo 64,adventure,historic,thq
indiana jones and the infernal machine,6.3,1999,South America,Nintendo 64,adventure,historic,thq
indiana jones and the infernal machine,6.3,1999,North America,PlayStation,adventure,historic,thq
quake ii,9.0,1997,North America,PC,shooter,sci-fi,ubisoft
quake ii,9.0,1997,Europe,PC,shooter,sci-fi,ubisoft
quake ii,9.0,1997,North America,Nintendo 64,shooter,sci-fi,ubisoft
quake ii,9.0,1997,Europe,Nintendo 64,shooter,sci-fi,ubisoft
quake ii,9.0,1997,North America,PlayStation,shooter,sci-fi,ubisoft
quake ii,9.0,1997,Europe,PlayStation,shooter,sci-fi,ubisoft
quake ii,9.0,1997,North America,Macintosh,shooter,sci-fi,ubisoft
quake ii,9.0,1997,South America,Zeebo,shooter,sci-fi,ubisoft
quake ii,9.0,1997,Europe,Amiga,shooter,sci-fi,ubisoft
quake ii,9.0,1997,South America,Nintendo 64,shooter,sci-fi,ubisoft
quake ii,9.0,1997,Australia,Macintosh,shooter,sci-fi,ubisoft
motorhead,6.2,1998,North America,PC,arcade,,
motorhead,6.2,1998,Europe,PlayStation,arcade,,
motorhead,6.2,1998,North America,PlayStation,arcade,,
warzone 2100,7.6,1999,North America,PC,strategy,,
warzone 2100,7.6,1999,Europe,PC,strategy,,
warzone 2100,7.6,1999,North America,PlayStation,strategy,,
warzone 2100,7.6,1999,Europe,PlayStation,strategy,,
warzone 2100,7.6,1999,North America,Macintosh,strategy,,
warzone 2100,7.6,1999,North America,Linux,strategy,,
warzone 2100,7.6,1999,South America,PC,strategy,,
warzone 2100,7.6,1999,Asia,PC,strategy,,
myth: the fallen lords,8.9,1997,North America,PC,strategy,fantasy,
myth: the fallen lords,8.9,1997,North America,Macintosh,strategy,fantasy,
myth: the fallen lords,8.9,1997,Europe,PC,strategy,fantasy,
fox sports golf '99,8.2,1998,North America,PC,sports,,
fox sports golf '99,8.2,1998,North America,PlayStation,sports,,
age of empires,6.8,1997,North America,PC,strategy,historic,
age of empires,6.8,1997,North America,Macintosh,strategy,historic,
age of empires,6.8,1997,Europe,Gizmondo,strategy,historic,
age of empires,6.8,1997,North America,Mobile,strategy,historic,
age of empires,6.8,1997,Europe,PlayStation,strategy,historic,
close combat iii: the russian front,9.2,1999,North America,PC,strategy,historic,
close combat iii: the russian front,9.2,1999,Europe,PC,strategy,historic,
baseball 2000,4.9,1999,North America,PC,sports,,
test drive: off-road 2,6.1,1998,North America,PC,simulation,,capcom
test drive: off-road 2,6.1,1998,Japan,PlayStation,simulation,,capcom
test drive: off-road 2,6.1,1998,North America,PlayStation,simulation,,capcom
sid meier's alpha centauri,9.1,1999,North America,PC,strategy,sci-fi,electronic arts
sid meier's alpha centauri,9.1,1999,Europe,PC,strategy,sci-fi,electronic arts
sid meier's alpha centauri,9.1,1999,North America,Macintosh,strategy,sci-fi,electronic arts
sid meier's alpha centauri,9.1,1999,Japan,PC,strategy,sci-fi,electronic arts
final fantasy vii,9.5,1997,North America,PC,role-playing,,electronic arts
final fantasy vii,9.5,1997,Europe,PC,role-playing,,electronic arts
final fantasy vii,9.5,1997,Europe,PlayStation,role-playing,,electronic arts
final fantasy vii,9.5,1997,Japan,PlayStation,role-playing,,electronic arts
final fantasy vii,9.5,1997,North America,PlayStation,role-playing,,electronic arts
final fantasy vii,9.5,1997,Korea,PlayStation,role-playing,,electronic arts
final fantasy vii,9.5,1997,Australia,PlayStation,role-playing,,electronic arts
final fantasy vii,9.5,1997,Japan,PlayStation 4,role-playing,,electronic arts
final fantasy vii,9.5,1997,North America,PlayStation 4,role-playing,,electronic arts
final fantasy vii,9.5,1997,North America,iOS (iPhone/iPad),role-playing,,electronic arts
final fantasy vii,9.5,1997,Japan,iOS (iPhone/iPad),role-playing,,electronic arts
final fantasy vii,9.5,1997,Europe,PlayStation 4,role-playing,,electronic arts
final fantasy vii,9.5,1997,Korea,PlayStation 4,role-playing,,electronic arts
final fantasy vii,9.5,1997,Australia,PlayStation 4,role-playing,,electronic arts
final fantasy vii,9.5,1997,North America,Android,role-playing,,electronic arts
final fantasy vii,9.5,1997,North America,Nintendo Switch,role-playing,,electronic arts
final fantasy vii,9.5,1997,North America,Xbox One,role-playing,,electronic arts
final fantasy vii,9.5,1997,Europe,Nintendo Switch,role-playing,,electronic arts
final fantasy vii,9.5,1997,Asia,PlayStation 4,role-playing,,electronic arts
final fantasy vii,9.5,1997,Japan,Nintendo Switch,role-playing,,electronic arts
final fantasy vii,9.5,1997,Japan,Xbox One,role-playing,,electronic arts
final fantasy vii,9.5,1997,Australia,Xbox One,role-playing,,electronic arts
final fantasy vii,9.5,1997,Europe,Xbox One,role-playing,,electronic arts
final fantasy vii,9.5,1997,Korea,Nintendo Switch,role-playing,,electronic arts
final fantasy vii,9.5,1997,Korea,Xbox One,role-playing,,electronic arts
heretic ii,8.1,1998,North America,PC,shooter,fantasy,activision
heretic ii,8.1,1998,Europe,PC,shooter,fantasy,activision
heretic ii,8.1,1998,North America,Macintosh,shooter,fantasy,activision
heretic ii,8.1,1998,North America,Amiga,shooter,fantasy,activision
heretic ii,8.1,1998,North America,Linux,shooter,fantasy,activision
requiem: avenging angel,7.3,1999,North America,PC,shooter,sci-fi,
gruntz,7.4,1999,North America,PC,strategy,sci-fi,
civilization: call to power,6.7,1999,North America,PC,strategy,historic,activision
civilization: call to power,6.7,1999,Europe,PC,strategy,historic,activision
civilization: call to power,6.7,1999,North America,Macintosh,strategy,historic,activision
civilization: call to power,6.7,1999,North America,Linux,strategy,historic,activision
civilization: call to power,6.7,1999,Japan,PC,strategy,historic,activision
south park,5.8,1998,North America,PC,shooter,modern,acclaim
south park,5.8,1998,North America,Nintendo 64,shooter,modern,acclaim
south park,5.8,1998,Europe,Nintendo 64,shooter,modern,acclaim
south park,5.8,1998,North America,PlayStation,shooter,modern,acclaim
south park,5.8,1998,Europe,PlayStation,shooter,modern,acclaim
south park,5.8,1998,South America,Nintendo 64,shooter,modern,acclaim
south park,5.8,1998,Australia,Nintendo 64,shooter,modern,acclaim
south park,5.8,1998,North America,Pinball,shooter,modern,acclaim
south park,5.8,1998,North America,Mobile,shooter,modern,acclaim
south park,5.8,1998,Europe,Mobile,shooter,modern,acclaim
army men ii,6.9,1999,North America,PC,shooter,,
midtown madness,7.7,1999,North America,PC,arcade,,ubisoft
rollercoaster tycoon,8.6,1999,North America,PC,strategy,,
rollercoaster tycoon,8.6,1999,Europe,PC,strategy,,
rollercoaster tycoon,8.6,1999,Europe,Xbox,strategy,,
rollercoaster tycoon,8.6,1999,North America,Xbox,strategy,,
rollercoaster tycoon,8.6,1999,North America,Pinball,strategy,,
legacy of kain: soul reaver,8.2,1999,Europe,PC,adventure,horror,capcom
legacy of kain: soul reaver,8.2,1999,North America,PC,adventure,horror,capcom
legacy of kain: soul reaver,8.2,1999,North America,Dreamcast,adventure,horror,capcom
legacy of kain: soul reaver,8.2,1999,Europe,Dreamcast,adventure,horror,capcom
legacy of kain: soul reaver,8.2,1999,North America,PlayStation,adventure,horror,capcom
legacy of kain: soul reaver,8.2,1999,Japan,PlayStation,adventure,horror,capcom
legacy of kain: soul reaver,8.2,1999,Europe,PlayStation,adventure,horror,capcom
myth ii: soulblighter,9.3,1998,North America,PC,strategy,fantasy,
myth ii: soulblighter,9.3,1998,North America,Macintosh,strategy,fantasy,
high heat baseball 2000,8.6,1999,North America,PC,sports,,
high heat baseball 2000,8.6,1999,North America,PlayStation,sports,,
vr sports powerboat racing,4.4,1998,North America,PC,arcade,,
vr sports powerboat racing,4.4,1998,Europe,PlayStation,arcade,,
vr sports powerboat racing,4.4,1998,North America,PlayStation,arcade,,
wetrix,8.8,1997,North America,PC,puzzle,,
wetrix,8.8,1997,Japan,Nintendo 64,puzzle,,
wetrix,8.8,1997,North America,Nintendo 64,puzzle,,
wetrix,8.8,1997,Europe,Nintendo 64,puzzle,,
yoot tower,4.0,1998,North America,PC,strategy,,sega
yoot tower,4.0,1998,North America,Macintosh,strategy,,sega
star trek: klingon academy,6.7,2000,North America,PC,simulation,sci-fi,
star trek: klingon academy,6.7,2000,Europe,PC,simulation,sci-fi,
star trek: klingon academy,6.7,2000,North America,PlayStation,simulation,sci-fi,
interstate '82,6.2,1999,North America,PC,simulation,,activision
interstate '82,6.2,1999,Europe,PC,simulation,,activision
revenant,7.0,1999,North America,PC,role-playing,,
revenant,7.0,1999,Europe,PC,role-playing,,
